time,pvalue,log_inverse_pvalue
t112,5.007161228155105e-50,113.51838551632265
t113,1.0166665088263382e-49,112.81014041000982
t114,1.9177502436309993e-49,112.17551680581096
t115,4.419417540013704e-49,111.3406616475796
t116,1.004653952090914e-48,110.51944130777476
t117,2.2457666121942078e-48,109.71503752544452
t118,7.0300402052e-48,108.57389203881836
t119,4.857938513264549e-47,106.64088519702048
t120,4.847914767725838e-46,104.34036561002827
t121,3.666438154906979e-45,102.31710852393286
t122,1.6131683231061605e-44,100.83554394397487
t123,4.16602389247994e-44,99.88678201380287
t124,9.857983805620723e-44,99.02546242622137
t125,4.061839324487554e-43,97.6095230921319
t126,3.4802198384246334e-42,95.4614784419977
t127,3.782074485764213e-41,93.07571614790545
t128,3.264572719276759e-40,90.92027483258754
t129,1.3837522070505107e-39,89.47601982675056
t130,3.2274368632664774e-39,88.62913034533774
t131,6.57157818889074e-39,87.9180646117185
t132,2.1382010639492562e-38,86.73826868258551
t133,1.0994813652522431e-37,85.10080985829423
t134,4.643937379606891e-37,83.66008586118507
t135,7.10288855075462e-37,83.23514690133416
t136,2.6794627858216935e-37,84.21003211940193
t137,3.701429574235875e-38,86.18951441733067
t138,3.226032699902723e-39,88.62956551075447
t139,3.3746538988780237e-40,90.88711094917637
t140,3.9032276080526705e-41,93.04418501007717
t141,3.5395121320204607e-42,95.44458500391514
t142,3.1136761275209097e-43,97.87535493603302
t143,4.623602843166633e-44,99.78256985437535
t144,2.3508707087386043e-44,100.45895831784858
t145,2.373275001340766e-44,100.44947323337104
t146,1.3563324341654483e-44,101.00895977432698
t147,1.5538233402638735e-45,103.17561061990261
t148,7.131826717252437e-47,106.25693196752978
t149,7.49053027013167e-48,108.51044487161073
t150,7.37108257173683e-48,108.52651987932629
